#gene1 gene2
LTBP4 ADGRE2
KRT75 VIM
ZFP69B ZNF274
VARS2 OTOG
PAN2 IPO4
LRRK1 COPA
LIMK1 RRAD
IRAK1 OGFR
HDAC1 KRTAP3-3
FES AMN1
THAP4 RSAD1
SNAP91 PICALM
POM121 PRKRIP1
PCSK2 TAF15
MSMO1 CAB39L
COL1A2 SF3B1
TANC1 EIF2AK3
RNASE11 DDX27
RBM5 CARS2
PRMT7 PHLDA1
PPAN RNF126
LTBP2 GAS6
GIGYF1 PLOD3
CTCF ZNF569
CD79A PSMD11
RUNX3 AP3D1
PTPN4 FARP2
PRPF40A DFFB
PPP1R13L RNH1
OPRD1 TMEM190
NID1 NELL1
LTBP4 TPO
FBLN1 SCUBE1
EPPK1 COL1A2
DDX19B UNC13B
C15orf39 KLF10
APLP2 PCNT
ADGRV1 ATP6V0A1
SULF1 SEPTIN9
POM121 RBAK
MYO1D FITM2
CLEC4M CD209
CFAP410 PPL
ZIM2 ZNF83
SLC12A7 HSF1
SHANK2 RHBDF1
SCAF1 PHRF1
RPS6KA2 CD74
REX1BD CDC42BPG
NR3C1 NUBP1
MYH14 KCNK10
EFCC1 USE1
DCP2 ANGPT1
CNGA3 MATK
CALR CMPK2
CACNA1H NCK1
UTP14A CHMP2A
SPTBN2 KPNB1
SHANK3 ZDHHC14
RPF1 PIBF1
RDX EZR
PIGQ ADAP1
PHYHD1 TMEM213
LSM5 ZFP36L2
IGSF3 GGT2
IGDCC4 CSF3
HABP4 NEK1
DCHS2 GANC
CRELD1 NOTCH4
COL1A1 DCTN4
BMS1 AGAP11
ALOX12 EEF2
ADGRE5 LTBP3
ACTR3C DPP6
ULK2 FAM71B
ULBP2 RAET1G
UBTF AFF3
TTN SMARCB1
SULT2B1 UNC80
ST6GALNAC5 TLN1
SOGA1 MTCL1
SLC66A1 PRDM2
SHANK3 IKZF1
SFTPC CD151
SAMD5 SASH1
RNF151 BAZ1B
PRKCG STK32A
PODN LRRC15
PKM PKLR
PIEZO1 SPTBN5
NUP153 CTSL
NID1 FBN1
MAD1L1 GNB2
LRP5 RUFY1
KDM6B EXOSC8
IRF1 IQCA1
HMCN1 CCBE1
HIF3A EPAS1
ESRP2 TRAF7
EPX MPO
DMD METAP2
DAAM1 TMC5
CYFIP1 SLC1A5
C2orf27A NBEA
ANXA11 MYH1
ACAD9 MRPS22
ABI3BP TEP1
ZIK1 ZNF416
VLDLR FBLN5
UTP14C CHMP2A
ULK1 ZNF771
ULBP2 RAET1L
TCN2 SLC26A9
SCN3A PIEZO1
SARM1 RHOT2
PSIP1 SFTPC
PRSS23 CORO1B
PGLS ST5
PCDHA1 SLC38A5
NUMBL SYNGR3
NF1 AK4
MUC17 FN1
MINK1 AATK
LRP1 NOTCH2
KRBOX4 ZNF674
KLHDC8B STAB1
HSD17B8 ITGAD
HMCN1 NELL1
GLYAT VPS39
FBLN1 SCUBE2
EIF3C AGAP3
CXCR6 LRRC36
CTSL OR52E8
CTSD NF2
CRELD2 NOTCH3
COBL MYO1F
BCAR3 SH2D3C
ATAD2 MYLK
APC2 EEF2
ZP3 POMZP3
UPF1 ITGAM
TSPAN11 CD151
TSPAN10 KHSRP
TNXB FCN3
TNNC2 CCDC12
TCEANC GFPT2
SUPT5H DHTKD1
SUGT1 NOL6
SMPDL3B USP35
SIGLEC6 CD33
SFTPC PLXNA1
SAC3D1 ARHGAP9
RRNAD1 TTC34
RCOR3 LTBP4
RBAK PRKRIP1
QSOX1 BAAT
PTX3 RBM10
PRH1 PRR4
PHLDB1 ATAD3B
LXN SLU7
KMT2C KIF13B
KLK13 CELA1
HPCAL4 VSNL1
GSS LEMD2
GOLGA8A UBE2Q2
GAREM1 CMTR1
FLNB POLR3H
EDEM3 GOLGA5
DST RGS20
DNAH11 ESRP2
DDX46 LRRC39
CENPA SDC3
CDT1 COL18A1
CDK3 CAMK2A
CD46 MUC4
CCND1 EBF1
CCDC9B CTSD
CAT MYH15
C1S PROS1
AOPEP ADARB2
ANXA11 MYH2
ANKRD13D ERCC4
ADIPOQ CEACAM5
ACAN NCAN
ZNF248 ZFP1
ZNF197 TARBP2
ZKSCAN7 ZNF852
ZBTB16 NNMT
WWP2 BAZ2B
UBE2R2 CDC34
TRPM4 SEC13
TRPM4 CHMP7
TNFAIP1 KCTD13
TMED5 FRK
TLR9 WDR13
TET3 KIAA1217
TELO2 CORO7
TBC1D32 TRIP11
TAOK2 OTULINL
TANGO2 PWWP3A
STK25 PROKR2
SREBF2 CALD1
SFSWAP NOC4L
SEC13 TCHH
SCTR VIPR1
RPSAP58 ZNF431
RPS5 CCT3
RECQL4 PUF60
PSMD13 SUMF1
PHLDB1 ACTN1
PECR COL1A1
PDIA4 TXNDC5
PARVA ANKRD2
OPA3 EHBP1L1
NSRP1 PFDN5
NELL2 TMBIM6
MYO1D METTL22
MSR1 COL2A1
MPP1 GNPTAB
MGA MYO18B
MEPCE BOK
MAN2B1 COL7A1
MAD1L1 GLI3
LTBP4 NOTCH3
LTBP4 MASP1
LRP5 SRCIN1
LGALS1 ZNF44
LDB3 PDLIM7
KDM7A PHF2
KAT6A TRAF7
KANK3 AOC3
IPO8 ILK
INTS6 EZR
INTS3 PTPRF
IFT122 ATP2A2
HDAC1 MYO18A
H6PD SPSB1
GPR180 PPP1R7
FOXO3B ZNF286A
FAM50A ATRNL1
FAAP100 CRADD
DUOX2 POR
DNAH6 CKAP2
DLX5 CDX4
DES KRT7
CYB561D2 SLC12A9
CUBN HSPG2
COL2A1 COPZ2
COL1A2 SCTR
COL18A1 THOP1
CLCN7 SCTR
CAPZB EEF2
CAMKV MAPKAPK2
CABP5 EIF4G1
C8orf34 ZNF568
C4orf46 SCYL1
BTNL9 TMEM259
AURKC MYRF
ANGPT2 FGL2
AK5 ATP2C2
AGFG1 TTN
ADGRE5 FBLN2
ADGRE1 FBN1
ABCG4 PYGB
ZNF254 RPSAP58
ZIM2 ZNF480
ZFHX4 SERPINA1
WWC3 ZNF438
WASHC5 BEND3
UTRN DMD
USP6 TBC1D3
USP48 PPP1R21
UMAD1 GLCCI1
TYRP1 SLC23A2
TWNK MED13L
TUSC2 HDAC11
TSSK2 TRAPPC10
TP73 EPAS1
TP53AIP1 RPS6KA5
TMCO5A PIFO
TINF2 MAST2
TGM7 CC2D1A
TES CAV1
TENT4A ITLN1
TBCD SNRNP200
TBC1D2 CASKIN2
SUN1 HNRNPH1
SPG11 TFCP2L1
SOCS5 EPAS1
SNX32 RHOA
SLC9B2 ARMC4
SLC39A8 PAPSS1
SLC22A31 TK1
SFTPC CALR
SFTPB C19orf54
SETD5 WDR66
SDHA PTPRG
SCARA5 TELO2
RPTOR GPR78
RPN1 EIF2S1
RPL13A MRC1
RNF213 ITGA3
RGMB SERPINB1
RBM47 LIMCH1
RAVER2 VPS16
RAB40C TMEM8A
PYGO2 PHF12
PRNP CENPE
PRIMPOL XPO7
PPP2R2D JAKMIP3
PPP1R9B TG
PPP1R9B JAKMIP1
PLPBP CHMP1A
PLG LPA
PLEC RPN2
PKD1L2 PEX16
PIAS2 ST8SIA5
PHLDB1 ATAD3A
PDZD2 SPATA6L
PDLIM1 PPP1R26
OTULIN DLG2
OR2C3 MAP3K10
NRCAM PNPLA8
NPHP1 PKD1L3
NLRP6 BCAS4
NFIA NID1
NBR1 LOC101929372
NAA60 EIF3I
MYLK IFI30
MYLIP LAMB2
MYH9 SOX10
MYBPC3 EIF3B
MRPL53 MOB3A
MGAM GAA
MFNG LFNG
METTL23 DDB2
MCF2L B2M
MAP3K12 INSR
MAGI3 WWP2
MAGED2 PKIB
LTBP4 SCUBE1
LTBP4 COMP
LTBP1 EGFL6
LTBP1 ARHGAP1
LRRC71 SLC6A4
LRP1 FBLN2
LRP1 FAM217B
LPAR1 HTR1D
LNPEP ANPEP
LLGL2 HR
LGI3 ATP1A1
LEPR POM121L2
LDLR FBN1
LDLRAD4 MCF2L
LDB2 ACAT1
LASP1 NEBL
KRT77 VIM
KIF23 ALKBH8
KIF12 HLA-DPA1
JAZF1 TAX1BP1
IGSF5 PCP4
ICE2 RUFY2
HMCN2 LTBP3
HIRA ICAM1
HDGFL2 STXBP2
HABP2 CTRB2
GRK5 ABCA2
GRIPAP1 HECTD3
GRAP2 PCDHGB5
GGNBP2 PSMD7
FOSB ADGRA3
FBLN1 JAG2
FAT1 ARFIP2
EXOC7 DDX49
EPB41L5 TMEM39A
ENG SLC45A1
EIF5B SLC39A6
DST MACF1
DPP7 CCDC40
DPH7 FBXO7
DLGAP1 SFTPB
DLEC1 CD151
DGKZ BICD2
DELE1 SOWAHC
DDX39B ITGA3
DCUN1D2 TMCO3
CYP4B1 SNAPC2
CTNNB1 ULK4
CSE1L FRYL
CR1L CD46
CPSF6 AOPEP
COL1A1 TTN
CNRIP1 PPP3R1
CLSTN3 MPO
CLN3 NPIPB8
CLASRP COX11
CHN2 CPVL
CFD GZMK
CFD CTRC
CFAP161 IL16
CEACAM8 PSG6
CDK17 ELK3
CCDC130 SMCO2
CACNA1C ARAP1
BSDC1 FANCC
BPIFB4 RNASET2
BPIFB1 SPIRE2
BLOC1S5 TXNDC5
BBX NAA50
B3GNT2 COMMD1
AVIL TTC7A
ATG10 SSBP2
ARHGEF16 DNPH1
ANKRD13D SLC16A11
ALOX5 STX11
AKAP13 LRP1B
ADGRE2 COL1A2
ADAMTS7 SH3TC1
ACTN4 HNRNPL
ACSBG2 MBOAT7
TMPRSS4 DNAH8
PAK1 PIBF1
MUC5B ZDHHC7
MUC5B ACAP2
ELMO3 SART1
BTBD17 EPS8L1
PRRC2A COL1A1
OTOF PLEKHA7
CACNA1B TNFRSF25
SSTR2 CXXC1
SKIDA1 C16orf89
SHOX2 ALX1
PLPP2 IDH2
PLEKHG4B ARHGEF16
MLXIPL PSMD9
LOC100289561 RBAK
LGALS1 F12
ERP29 TMEM184B
CPXM1 AEBP1
ZNF554 ZKSCAN2
ZNF550 ZBTB48
ZIM2 ZNF525
USP6 TBC1D3D
TRIM4 COL1A1
TMED3 MINAR1
TIMELESS PANK4
SYVN1 AP3D1
SGIP1 COL11A1
SDC1 PTPRH
RGL4 RALGDS
RAVER1 EIF3G
PTPRS COL1A1
PRDX1 CTSD
PLEC KRI1
PCOLCE SYP
OXSR1 TAOK3
OR10T2 TRIO
NOLC1 FOXO6
NOL10 PROM1
NDC80 NUTM1
MRC2 FAIM2
MMP9 IRS1
LAMB3 DRD2
HMCN1 LTBP1
GRAMD1B DENND4B
GPNMB GLG1
GCGR GIPR
FBN1 SCUBE2
DNAH9 MUC5B
DGKH UBE2T
COL16A1 FAM83G
COL11A1 NUTM2F
COL11A1 NUTM2E
COL11A1 NUTM2A
CHL1 NRCAM
CELSR2 ZNF853
BRI3BP UBC
ADRA2C GMPPB
ADGRL1 ALDOB
ACAD9 CD320
ARX VSX2
KIAA1522 PAM
TMEM62 SLC38A8
PDE7A CALU
OXT AVP
NIPSNAP3A ASXL1
HDGFL2 PROZ
CPE ZNF692
COL11A1 C1QTNF6
CNPY3-GNMT GPR108
CLN3 NPIPB9
TIMELESS FCRLA
TFDP2 COL9A2
SORCS2 SERPINA1
SLC15A1 SHCBP1
S100A9 PHYHIP
PDGFA CHAF1A
NCOR2 TCAF1
KMT2C BAGE2
KLF2 P3H3
EEFSEC LSR
DLG5 SART1
DDX24 FURIN
COL5A2 AOAH
COL11A1 NUTM2G
CGB2 LHB
C17orf53 COQ5
APOA4 FTSJ1
ADRM1 ADGRB1
TMEM138 WDR59
SLC17A4 TIMM50
SEMA6A SLC27A4
NLE1 AMOT
NDST1 P4HB
NCOR1 RPS4Y2
NCK1 CACNA1G
NAV1 USP54
MPND APOE
MGA SAP130
MAGEF1 NUP153
LOC730098 PACC1
LHX3 ALDH4A1
LARS2 LIMD1
KRT23 NRP1
KHSRP ONECUT3
ITGA2B GUCA1A
INCENP ARID5A
GLYATL1 FAM111B
ESYT1 SGMS2
EEF2KMT FAM86B2
EEF2KMT FAM86B1
DNAH12 GMNN
DHRS7 CD19
DAB2IP RASAL2
CTSV TTC12
CSNK2B RBBP5
CSHL1 LRCH4
CRELD2 SCUBE3
COL1A1 KLF11
COL11A1 NUTM2D
COL11A1 NUTM2B
CLN3 NPIPB6
CHRNB1 COX14
CEP85 MYO10
CACFD1 CARS
ADRA2B PLXNA1
ADAMTS18 DAGLB
ZYX AJUBA
ZNF76 IKZF3
ZNF76 DNAJC17
ZFP2 ZNF184
WDR62 DSCAM
UGT3A1 VWA7
UBLCP1 HEATR6
UBE2E1 TLCD2
UBAP2L KIF1A
UACA GRM7
TRIP13 FOXK1
TRIM60 KIF1A
TRARG1 RPL8
TNNT1 ZC3H3
TMPRSS13 ACOT7
TMED9 AQP3
TLN1 CIR1
THBS4 TCOF1
TGFA MRPL53
TALDO1 FAM186A
SYTL1 MUC1
SSR4 PDIA6
SRL RPL8
SPATC1 IGLL5
SPATA31A5 MYO1G
SLC6A11 CTSD
SLC28A2 PODXL
SLC18A2 NUB1
SHCBP1 SLC15A1
SFXN2 TMEM63B
S100A2 BAZ1B
RUNX1T1 CBFA2T2
RPSAP58 ZNF429
RPL29 ETV5
RILPL1 CLCN1
RGL2 ACTN4
RCAN1 SMIM14
RBMS3 SERINC2
PYGL UBE2J2
PTPRN2 TACC3
PSMD13 PEX5
PRSS16 SLC34A3
PRAG1 KIF1A
PPL GJA8
POLE4 FAM120B
POFUT1 PTCD3
PNISR CCAR1
PLS1 HADHB
PLPBP FAM120B
PI4KA NRXN3
PHEX AP3D1
PEX16 EFHB
PCSK7 SERPINA1
PAPSS2 EGR2
P4HB ABCA2
OTX1 GSC2
NLRC5 OR13C2
NKX6-1 PHOX2A
NFKBID TPCN2
NDUFS6 RIMBP2
NCLN PTPN7
NAB2 TRIM25
MYH11 HNRNPAB
MUC5AC ECT2
MINDY4B PADI2
MAPK13 ZNF335
MAP3K19 LAMB1
LRRC55 GEMIN5
LRRC37B MANBA
KAT8 GPR108
KAT2A MPLKIP
JAG2 NELL2
JADE3 MLLT6
ITGAV KIF20B
ITFG1 PHKB
INSIG1 AEBP1
HTT NAA40
HMBOX1 INTS9
HLA-C DCX
GTF2IRD1 CLSPN
GOT1 PAAF1
GNPTAB SYNE1
GNAI2 SLC25A25
GFAP KRT7
FMO4 PGC
FLII AMPD2
FCSK KCTD13
FBXW10 CDRT1
FAM168B PLEKHB2
ERBIN MAST4
ERBB2 LIN7B
ELP2 MYSM1
EIF5 OS9
EIF3I SLC4A11
EGFL7 LTBP4
EGF FBN1
DUOXA1 B2M
DNAJC3 CLDN10
DLG5 PEX19
DKKL1 COL1A1
DDR2 SH3YL1
DDR2 LCK
DAP3 TMEM141
CTNNB1 PRKCA
CTDSP1 AOPEP
CRYGN AAAS
CRELD2 ADGRE5
CPLX2 HKDC1
COL4A4 RHBDD1
COL1A1 ASAP1
COL13A1 FXYD5
CNOT2 MYRFL
CLCN7 XG
